                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.89652,                 0.5472,                0.99473,                0.79404,                0.69872,                0.74464,                0.50615,                 1.2701,                0.79314,                  1.142,               0.006766,               0.006766,               0.006766
                     51,                0.89393,                0.54233,                0.98771,                0.79778,                0.70782,                0.74163,                 0.5056,                 1.2697,                0.79749,                 1.1433,                 0.0067,                 0.0067,                 0.0067
                     52,                0.89305,                0.54223,                0.98898,                 0.8136,                 0.6985,                0.73618,                0.50313,                 1.2747,                0.79923,                 1.1408,               0.006634,               0.006634,               0.006634
                     53,                0.89168,                0.53944,                0.98262,                0.80014,                0.69707,                0.73854,                0.50447,                 1.2785,                 0.7997,                 1.1372,               0.006568,               0.006568,               0.006568
                     54,                0.88542,                0.53166,                0.98098,                0.79798,                0.69961,                0.73955,                0.50714,                 1.2779,                0.80346,                 1.1378,               0.006502,               0.006502,               0.006502
                     55,                0.88263,                0.53322,                0.98149,                0.79525,                0.70664,                0.73819,                 0.5029,                 1.2789,                0.80101,                 1.1428,               0.006436,               0.006436,               0.006436
                     56,                0.88561,                0.53342,                0.98249,                0.81108,                0.69818,                0.74201,                0.50593,                  1.278,                 0.7954,                 1.1429,                0.00637,                0.00637,                0.00637
                     57,                0.86872,                0.52536,                 0.9785,                0.81646,                0.69826,                0.74146,                0.50821,                 1.2712,                0.80241,                 1.1398,               0.006304,               0.006304,               0.006304
                     58,                0.86922,                0.52523,                0.97732,                0.83148,                0.70073,                0.74319,                0.50909,                 1.2738,                 0.7912,                 1.1393,               0.006238,               0.006238,               0.006238
                     59,                0.86891,                  0.526,                0.97697,                0.81542,                 0.7067,                0.74586,                0.51046,                 1.2709,                0.78324,                 1.1375,               0.006172,               0.006172,               0.006172
                     60,                0.86595,                0.51974,                0.97508,                0.83716,                0.70322,                0.74873,                0.51236,                 1.2791,                0.79037,                 1.1401,               0.006106,               0.006106,               0.006106
                     61,                0.86063,                0.52209,                0.97367,                0.83002,                0.70403,                0.74553,                0.51279,                 1.2711,                0.79123,                 1.1388,                0.00604,                0.00604,                0.00604
                     62,                 0.8598,                0.51595,                0.97359,                0.80826,                0.71389,                 0.7459,                0.51311,                 1.2688,                0.79051,                 1.1389,               0.005974,               0.005974,               0.005974
                     63,                0.85879,                0.51469,                0.96974,                0.81574,                 0.7061,                0.74565,                0.51354,                 1.2687,                0.77963,                 1.1356,               0.005908,               0.005908,               0.005908
                     64,                 0.8515,                0.50913,                 0.9676,                0.81644,                0.70019,                0.74477,                0.51402,                 1.2647,                0.77668,                 1.1351,               0.005842,               0.005842,               0.005842
                     65,                0.84978,                0.50919,                0.96511,                0.80944,                0.71098,                0.74818,                0.51694,                 1.2608,                0.77783,                 1.1329,               0.005776,               0.005776,               0.005776
                     66,                0.84679,                0.50434,                0.96746,                0.83475,                0.70195,                 0.7546,                0.51746,                 1.2644,                 0.7793,                 1.1333,                0.00571,                0.00571,                0.00571
                     67,                0.83729,                0.50074,                0.96312,                0.83364,                 0.7006,                0.75079,                0.51585,                 1.2685,                0.78792,                 1.1377,               0.005644,               0.005644,               0.005644
                     68,                0.83995,                0.49957,                0.96302,                0.81786,                0.70536,                0.74515,                0.51612,                 1.2675,                0.79017,                 1.1383,               0.005578,               0.005578,               0.005578
                     69,                0.83565,                0.50065,                0.96298,                0.83215,                0.70106,                0.74773,                0.51759,                 1.2752,                0.79211,                  1.142,               0.005512,               0.005512,               0.005512
                     70,                0.83536,                0.49798,                0.96309,                0.80746,                 0.7254,                0.75173,                0.51869,                 1.2715,                0.78684,                 1.1402,               0.005446,               0.005446,               0.005446
